Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,def_cluster
Cas Odenthal,CB,Holland,0.7,0.61,0.35,0.54,0.61,0.69,0.74,0.53,0.68,0.59,0.67,0.63,0.68,0.79,0.67,0.73,0.73,0.71,0.67,0.68,0.67,0.54,CB,DEF,3
Lucas Rosa,RB,Brazil,0.7,0.73,0.42,0.57,0.6,0.65,0.62,0.75,0.71,0.62,0.72,0.65,0.64,0.57,0.8,0.67,0.68,0.73,0.63,0.65,0.58,0.58,RB,DEF,2
José Ortíz,CB,Colombia,0.7,0.72,0.47,0.47,0.53,0.7,0.74,0.71,0.72,0.6,0.65,0.57,0.69,0.79,0.66,0.81,0.68,0.67,0.72,0.7,0.7,0.67,CB,DEF,3
Ben Osborn,LB,England,0.7,0.69,0.65,0.7,0.72,0.65,0.63,0.69,0.69,0.8,0.83,0.71,0.68,0.56,0.84,0.6,0.68,0.67,0.66,0.64,0.5,0.73,LB,DEF,2
Cenk Özkacar,CB,Turkey,0.7,0.6,0.36,0.56,0.61,0.69,0.75,0.61,0.6,0.62,0.55,0.64,0.66,0.79,0.68,0.8,0.7,0.7,0.69,0.68,0.71,0.64,CB,DEF,3
Sergi Palencia,RB,Spain,0.7,0.78,0.56,0.6,0.69,0.65,0.72,0.78,0.78,0.72,0.74,0.67,0.65,0.67,0.79,0.73,0.65,0.63,0.68,0.66,0.57,0.68,RB,DEF,2
Victor Pálsson,CB,Iceland,0.7,0.7,0.52,0.59,0.57,0.68,0.77,0.65,0.74,0.67,0.59,0.6,0.68,0.74,0.78,0.75,0.65,0.6,0.69,0.72,0.7,0.71,CB,DEF,2
Park Ji Soo,CB,Korea Republic,0.7,0.69,0.48,0.56,0.6,0.7,0.76,0.65,0.73,0.73,0.64,0.62,0.58,0.78,0.72,0.81,0.71,0.68,0.71,0.65,0.72,0.54,CB,DEF,2
Antonio Pergreffi,CB,Italy,0.7,0.49,0.45,0.53,0.54,0.7,0.77,0.51,0.47,0.32,0.4,0.6,0.65,0.83,0.7,0.75,0.72,0.7,0.7,0.66,0.7,0.55,CB,DEF,3
Léo Pétrot,LB,France,0.7,0.65,0.33,0.54,0.58,0.71,0.75,0.64,0.66,0.61,0.55,0.61,0.67,0.81,0.69,0.79,0.72,0.73,0.7,0.69,0.68,0.3,LB,DEF,3
Iván Piris,RB,Paraguay,0.7,0.69,0.48,0.61,0.68,0.69,0.68,0.71,0.67,0.75,0.78,0.66,0.71,0.65,0.68,0.7,0.73,0.68,0.67,0.73,0.59,0.64,RB,DEF,2
Bruno Pittón,LB,Argentina,0.7,0.71,0.67,0.7,0.65,0.64,0.65,0.72,0.7,0.71,0.81,0.67,0.67,0.61,0.82,0.77,0.69,0.59,0.58,0.65,0.71,0.74,LB,DEF,2
Ryan Porteous,CB,Scotland,0.7,0.68,0.42,0.62,0.6,0.68,0.8,0.6,0.74,0.47,0.68,0.62,0.62,0.81,0.74,0.78,0.69,0.69,0.67,0.68,0.7,0.68,CB,DEF,3
Lucas Possignolo,CB,Brazil,0.7,0.49,0.37,0.46,0.5,0.7,0.75,0.52,0.47,0.64,0.56,0.52,0.67,0.79,0.68,0.77,0.7,0.69,0.68,0.72,0.71,0.53,CB,DEF,3
Álex Pozo,RB,Spain,0.7,0.73,0.64,0.66,0.73,0.66,0.5,0.76,0.71,0.84,0.83,0.74,0.67,0.4,0.72,0.62,0.7,0.66,0.66,0.61,0.67,0.69,RB,DEF,2
Pubill,RB,Spain,0.7,0.78,0.56,0.62,0.67,0.64,0.78,0.76,0.79,0.75,0.58,0.67,0.69,0.83,0.79,0.83,0.64,0.65,0.62,0.67,0.62,0.7,RB,DEF,2
Tymoteusz Puchacz,LB,Poland,0.7,0.86,0.64,0.62,0.7,0.63,0.8,0.8,0.9,0.79,0.73,0.66,0.64,0.76,0.87,0.79,0.62,0.64,0.64,0.64,0.56,0.77,LB,DEF,2
Julián Quiñónes,CB,Colombia,0.7,0.55,0.35,0.49,0.42,0.68,0.83,0.51,0.58,0.46,0.6,0.5,0.61,0.94,0.68,0.87,0.67,0.62,0.68,0.65,0.78,0.63,CB,DEF,3
Leonel Quiñonez,LB,Ecuador,0.7,0.76,0.63,0.68,0.68,0.65,0.73,0.78,0.75,0.78,0.71,0.67,0.64,0.7,0.79,0.74,0.67,0.66,0.64,0.65,0.56,0.77,LB,DEF,2
Aarón Quirós,CB,Argentina,0.7,0.62,0.49,0.63,0.65,0.72,0.59,0.62,0.62,0.41,0.74,0.7,0.71,0.51,0.61,0.74,0.71,0.73,0.74,0.71,0.71,0.6,CB,DEF,3
Miguel Nóbrega,CB,Portugal,0.7,0.56,0.36,0.48,0.48,0.71,0.76,0.58,0.54,0.51,0.47,0.56,0.68,0.82,0.7,0.81,0.73,0.69,0.71,0.69,0.71,0.57,CB,DEF,3
Yonatthan Rak,CB,Uruguay,0.7,0.66,0.39,0.54,0.53,0.71,0.71,0.68,0.65,0.47,0.53,0.58,0.6,0.73,0.64,0.8,0.72,0.7,0.69,0.72,0.73,0.46,CB,DEF,3
Benito,LB,Spain,0.7,0.86,0.65,0.65,0.7,0.63,0.67,0.85,0.87,0.77,0.76,0.69,0.67,0.67,0.7,0.8,0.64,0.65,0.6,0.62,0.68,0.72,LB,DEF,2
Williams Riveros,CB,Paraguay,0.7,0.58,0.39,0.5,0.53,0.69,0.76,0.57,0.58,0.61,0.62,0.66,0.65,0.83,0.71,0.77,0.7,0.67,0.69,0.7,0.68,0.44,CB,DEF,3
Alan Rodríguez,LB,Paraguay,0.7,0.83,0.52,0.69,0.68,0.62,0.59,0.81,0.84,0.75,0.65,0.67,0.67,0.58,0.73,0.62,0.63,0.61,0.65,0.66,0.43,0.56,LB,DEF,2
Keegan Rosenberry,RB,United States,0.7,0.68,0.51,0.61,0.65,0.68,0.74,0.68,0.68,0.77,0.78,0.63,0.67,0.68,0.86,0.71,0.69,0.67,0.69,0.68,0.65,0.66,RB,DEF,2
Marwane Saadane,CB,Morocco,0.7,0.55,0.51,0.6,0.61,0.68,0.84,0.56,0.55,0.63,0.59,0.69,0.62,0.84,0.86,0.77,0.7,0.65,0.67,0.65,0.7,0.61,CB,DEF,3
Kyriani Sabbe,RB,Belgium,0.7,0.76,0.51,0.68,0.71,0.63,0.58,0.79,0.73,0.74,0.85,0.71,0.64,0.51,0.69,0.63,0.66,0.64,0.62,0.65,0.52,0.61,RB,DEF,2
Stefano Sabelli,RB,Italy,0.7,0.7,0.39,0.6,0.63,0.66,0.67,0.68,0.72,0.69,0.78,0.61,0.7,0.58,0.86,0.64,0.69,0.71,0.64,0.66,0.58,0.35,RB,DEF,2
Saborit,LB,Spain,0.7,0.69,0.47,0.64,0.66,0.68,0.75,0.67,0.7,0.73,0.39,0.7,0.63,0.77,0.74,0.81,0.71,0.69,0.62,0.68,0.71,0.54,LB,DEF,2
Michal Sáček,RB,Czech Republic,0.7,0.74,0.63,0.67,0.69,0.64,0.72,0.77,0.72,0.82,0.78,0.66,0.69,0.66,0.82,0.73,0.64,0.63,0.64,0.65,0.59,0.69,RB,DEF,2
Marco Sala,LB,Italy,0.7,0.81,0.54,0.66,0.68,0.63,0.65,0.82,0.81,0.79,0.77,0.66,0.65,0.6,0.77,0.72,0.65,0.64,0.62,0.64,0.55,0.61,LB,DEF,2
Tobias Salquist,CB,Denmark,0.7,0.67,0.41,0.51,0.52,0.69,0.8,0.65,0.69,0.62,0.65,0.6,0.68,0.86,0.78,0.81,0.7,0.67,0.7,0.69,0.69,0.61,CB,DEF,3
Agustín Sández,LB,Argentina,0.7,0.75,0.42,0.56,0.62,0.67,0.79,0.73,0.76,0.66,0.63,0.59,0.66,0.77,0.82,0.8,0.67,0.69,0.68,0.65,0.66,0.52,LB,DEF,2
Hevertton,RB,Brazil,0.7,0.79,0.57,0.64,0.7,0.64,0.72,0.79,0.79,0.7,0.62,0.74,0.63,0.71,0.73,0.73,0.71,0.68,0.58,0.67,0.51,0.73,RB,DEF,2
Rúben Fernandes,CB,Portugal,0.7,0.52,0.51,0.58,0.56,0.72,0.75,0.51,0.52,0.54,0.55,0.65,0.67,0.75,0.8,0.71,0.71,0.69,0.75,0.73,0.69,0.65,CB,DEF,3
Carlos Ponck,CB,Cape Verde Islands,0.7,0.68,0.45,0.52,0.6,0.69,0.77,0.67,0.68,0.61,0.57,0.61,0.63,0.81,0.7,0.84,0.7,0.67,0.69,0.67,0.72,0.7,CB,DEF,3
Zvonimir Šarlija,CB,Croatia,0.7,0.58,0.32,0.49,0.48,0.7,0.76,0.54,0.61,0.47,0.55,0.5,0.65,0.78,0.65,0.74,0.71,0.71,0.69,0.69,0.69,0.52,CB,DEF,3
Stefano Scognamillo,CB,Italy,0.7,0.78,0.45,0.58,0.59,0.69,0.78,0.8,0.77,0.64,0.68,0.57,0.67,0.82,0.74,0.86,0.72,0.66,0.7,0.65,0.68,0.65,CB,DEF,2
Marvin Senaya,RB,France,0.7,0.7,0.46,0.57,0.67,0.67,0.64,0.7,0.7,0.63,0.69,0.68,0.68,0.63,0.72,0.67,0.73,0.68,0.65,0.66,0.58,0.42,RB,DEF,2
Jamil Siebert,CB,Germany,0.7,0.74,0.33,0.5,0.52,0.68,0.8,0.69,0.78,0.51,0.51,0.58,0.65,0.88,0.72,0.75,0.71,0.68,0.68,0.64,0.68,0.52,CB,DEF,3
Francisco Sierralta,CB,Chile,0.7,0.52,0.3,0.51,0.52,0.69,0.74,0.51,0.52,0.48,0.34,0.63,0.68,0.84,0.52,0.75,0.68,0.68,0.7,0.7,0.67,0.38,CB,DEF,3
Manu Silva,CB,Portugal,0.7,0.59,0.4,0.59,0.56,0.69,0.76,0.62,0.57,0.53,0.48,0.59,0.7,0.81,0.67,0.77,0.73,0.68,0.66,0.68,0.66,0.54,CB,DEF,3
Rafa Soares,LB,Portugal,0.7,0.74,0.6,0.67,0.7,0.66,0.66,0.75,0.74,0.72,0.72,0.7,0.64,0.61,0.74,0.7,0.67,0.68,0.65,0.66,0.59,0.74,LB,DEF,2
Lucas Soares,RB,Brazil,0.7,0.82,0.37,0.57,0.69,0.65,0.6,0.8,0.83,0.74,0.79,0.67,0.67,0.56,0.75,0.58,0.68,0.68,0.7,0.65,0.38,0.4,RB,DEF,1
Eduard Sobol,LB,Ukraine,0.7,0.74,0.64,0.67,0.68,0.67,0.69,0.73,0.75,0.68,0.64,0.7,0.64,0.67,0.7,0.74,0.68,0.67,0.66,0.66,0.65,0.76,LB,DEF,2
Oliver Sonne,RB,Peru,0.7,0.77,0.45,0.63,0.67,0.63,0.66,0.77,0.77,0.66,0.64,0.68,0.67,0.62,0.79,0.68,0.67,0.68,0.59,0.64,0.52,0.64,RB,DEF,2
Luca Sosa,CB,Argentina,0.7,0.69,0.37,0.56,0.58,0.7,0.75,0.71,0.68,0.56,0.53,0.61,0.63,0.8,0.68,0.79,0.72,0.68,0.7,0.72,0.62,0.33,CB,DEF,3
Alexis Soto,LB,Argentina,0.7,0.79,0.46,0.62,0.71,0.64,0.73,0.76,0.81,0.76,0.77,0.7,0.64,0.69,0.81,0.7,0.67,0.65,0.63,0.66,0.52,0.56,LB,DEF,2
Arnaud Souquet,RB,France,0.7,0.65,0.58,0.66,0.68,0.66,0.7,0.66,0.64,0.68,0.64,0.67,0.69,0.65,0.74,0.71,0.71,0.7,0.63,0.62,0.67,0.71,RB,DEF,2
Jorne Spileers,CB,Belgium,0.7,0.73,0.31,0.58,0.57,0.7,0.71,0.68,0.77,0.57,0.59,0.63,0.68,0.73,0.72,0.76,0.7,0.66,0.72,0.71,0.7,0.49,CB,DEF,3
Stratos Svarnas,CB,Greece,0.7,0.73,0.36,0.49,0.5,0.7,0.79,0.72,0.73,0.67,0.6,0.48,0.65,0.81,0.79,0.81,0.72,0.67,0.71,0.72,0.64,0.58,CB,DEF,3
Oleksandr Svatok,CB,Ukraine,0.7,0.63,0.36,0.54,0.51,0.71,0.71,0.61,0.64,0.5,0.67,0.53,0.65,0.74,0.68,0.73,0.72,0.7,0.72,0.71,0.67,0.57,CB,DEF,3
Ross Sykes,CB,England,0.7,0.37,0.47,0.54,0.54,0.69,0.79,0.35,0.39,0.33,0.36,0.58,0.66,0.85,0.72,0.78,0.68,0.65,0.7,0.68,0.77,0.55,CB,DEF,3
Enzo Tchato,RB,Cameroon,0.7,0.82,0.45,0.59,0.65,0.66,0.61,0.78,0.86,0.6,0.65,0.68,0.66,0.59,0.65,0.7,0.69,0.65,0.63,0.68,0.59,0.42,RB,DEF,2
Romain Thomas,CB,France,0.7,0.32,0.36,0.51,0.44,0.71,0.69,0.33,0.32,0.34,0.4,0.61,0.69,0.82,0.42,0.73,0.72,0.7,0.7,0.68,0.74,0.62,CB,DEF,3
Anton Tinnerholm,RB,Sweden,0.7,0.7,0.51,0.63,0.65,0.65,0.78,0.65,0.74,0.69,0.66,0.64,0.72,0.75,0.88,0.59,0.68,0.66,0.71,0.68,0.35,0.52,RB,DEF,2
Fernando Tobio,CB,Argentina,0.7,0.45,0.3,0.53,0.46,0.69,0.79,0.44,0.45,0.34,0.39,0.5,0.66,0.83,0.69,0.81,0.67,0.69,0.7,0.68,0.7,0.4,CB,DEF,3
John Tolkin,LB,United States,0.7,0.81,0.46,0.63,0.64,0.65,0.68,0.81,0.81,0.77,0.75,0.6,0.64,0.61,0.83,0.7,0.68,0.65,0.66,0.67,0.51,0.53,LB,DEF,2
Marlon Torres,CB,Colombia,0.7,0.74,0.43,0.5,0.49,0.68,0.8,0.72,0.76,0.71,0.55,0.59,0.63,0.82,0.75,0.91,0.67,0.63,0.64,0.7,0.8,0.52,CB,DEF,3
Ahmed Touba,CB,Algeria,0.7,0.72,0.53,0.61,0.62,0.68,0.8,0.65,0.77,0.62,0.64,0.66,0.64,0.84,0.74,0.78,0.69,0.72,0.7,0.64,0.63,0.56,CB,DEF,2
Keigo Tsunemoto,RB,Japan,0.7,0.76,0.49,0.61,0.64,0.66,0.59,0.78,0.75,0.78,0.76,0.65,0.64,0.48,0.81,0.65,0.69,0.66,0.64,0.68,0.61,0.57,RB,DEF,2
Josh Tymon,LB,England,0.7,0.74,0.52,0.68,0.65,0.64,0.71,0.75,0.74,0.67,0.7,0.64,0.65,0.67,0.8,0.71,0.67,0.62,0.64,0.66,0.56,0.66,LB,DEF,2
Rav van den Berg,CB,Holland,0.7,0.65,0.35,0.51,0.6,0.7,0.7,0.67,0.64,0.53,0.52,0.65,0.7,0.76,0.63,0.77,0.71,0.71,0.71,0.68,0.67,0.48,CB,DEF,3
Ignace Van der Brempt,RB,Belgium,0.7,0.76,0.55,0.64,0.7,0.64,0.74,0.8,0.73,0.69,0.61,0.71,0.67,0.74,0.75,0.75,0.67,0.64,0.66,0.63,0.52,0.6,RB,DEF,2
Rick van Drongelen,CB,Holland,0.7,0.61,0.26,0.56,0.53,0.69,0.73,0.55,0.66,0.55,0.59,0.58,0.62,0.79,0.55,0.79,0.7,0.69,0.68,0.67,0.75,0.28,CB,DEF,3
Jesús Vázquez,LB,Spain,0.7,0.72,0.5,0.65,0.66,0.67,0.62,0.7,0.73,0.65,0.62,0.63,0.7,0.6,0.65,0.69,0.71,0.7,0.66,0.64,0.62,0.66,LB,DEF,2
Ranko Veselinović,CB,Serbia,0.7,0.66,0.27,0.49,0.5,0.7,0.78,0.56,0.74,0.45,0.59,0.57,0.68,0.79,0.77,0.74,0.71,0.67,0.7,0.69,0.67,0.38,CB,DEF,3
Francesco Vicari,CB,Italy,0.7,0.33,0.27,0.52,0.45,0.71,0.65,0.35,0.31,0.37,0.37,0.56,0.68,0.81,0.31,0.69,0.74,0.73,0.71,0.68,0.7,0.44,CB,DEF,3
Joel Pereira,RB,Portugal,0.7,0.73,0.41,0.67,0.67,0.64,0.67,0.77,0.69,0.72,0.66,0.67,0.65,0.62,0.83,0.66,0.66,0.65,0.65,0.67,0.49,0.53,RB,DEF,2
Alex Vigo,RB,Argentina,0.7,0.85,0.57,0.63,0.73,0.62,0.72,0.89,0.82,0.84,0.75,0.7,0.63,0.65,0.81,0.76,0.64,0.64,0.62,0.63,0.55,0.65,RB,DEF,2
Oliver Villadsen,RB,Denmark,0.7,0.86,0.48,0.63,0.71,0.62,0.66,0.86,0.86,0.81,0.79,0.71,0.67,0.62,0.77,0.66,0.65,0.63,0.63,0.63,0.44,0.55,RB,DEF,2
Aleksandar Vukotić,CB,Serbia,0.7,0.46,0.42,0.49,0.41,0.68,0.82,0.38,0.53,0.36,0.3,0.52,0.59,0.95,0.61,0.74,0.68,0.58,0.68,0.68,0.77,0.59,CB,DEF,3
Güray Vural,LB,Turkey,0.7,0.74,0.68,0.71,0.71,0.64,0.64,0.72,0.75,0.74,0.8,0.7,0.7,0.62,0.67,0.69,0.64,0.67,0.61,0.7,0.57,0.78,LB,DEF,2
Zak Vyner,CB,Kenya,0.7,0.68,0.35,0.56,0.62,0.7,0.72,0.66,0.69,0.64,0.56,0.63,0.66,0.75,0.73,0.76,0.72,0.7,0.7,0.69,0.69,0.45,CB,DEF,3
Sebastian Walukiewicz,CB,Poland,0.7,0.5,0.38,0.48,0.57,0.7,0.74,0.59,0.43,0.44,0.46,0.62,0.62,0.79,0.68,0.79,0.71,0.71,0.71,0.68,0.71,0.42,CB,DEF,3
Brice Wembangomo,RB,Norway,0.7,0.91,0.52,0.61,0.72,0.61,0.74,0.91,0.91,0.82,0.82,0.7,0.63,0.73,0.83,0.81,0.63,0.61,0.59,0.63,0.56,0.58,RB,DEF,2
Nicolas Wimmer,CB,Austria,0.7,0.49,0.45,0.51,0.59,0.7,0.79,0.52,0.46,0.58,0.42,0.62,0.68,0.84,0.76,0.79,0.68,0.68,0.72,0.68,0.72,0.69,CB,DEF,3
David Møller Wolfe,LB,Norway,0.7,0.77,0.52,0.59,0.68,0.65,0.72,0.75,0.78,0.67,0.65,0.72,0.66,0.72,0.78,0.75,0.67,0.65,0.64,0.65,0.58,0.56,LB,DEF,2
Gabriele Zappa,RB,Italy,0.7,0.75,0.55,0.61,0.67,0.65,0.7,0.67,0.81,0.68,0.5,0.66,0.68,0.66,0.81,0.65,0.67,0.65,0.63,0.68,0.54,0.68,RB,DEF,2
Deyovaisio Zeefuik,RB,Holland,0.7,0.8,0.41,0.6,0.67,0.66,0.77,0.76,0.84,0.71,0.75,0.64,0.65,0.76,0.74,0.78,0.7,0.66,0.62,0.7,0.58,0.65,RB,DEF,2
Nadir Zortea,RB,Italy,0.7,0.64,0.59,0.67,0.72,0.67,0.52,0.67,0.62,0.67,0.64,0.73,0.7,0.45,0.53,0.54,0.7,0.7,0.68,0.68,0.53,0.73,RB,DEF,2
Afonso Freitas,LB,Portugal,0.69,0.69,0.52,0.6,0.68,0.64,0.66,0.69,0.69,0.64,0.65,0.72,0.71,0.68,0.71,0.66,0.63,0.65,0.64,0.69,0.54,0.57,LB,DEF,2
Sam Adekugbe,LB,Canada,0.69,0.86,0.5,0.6,0.7,0.61,0.76,0.88,0.84,0.87,0.77,0.67,0.63,0.74,0.88,0.75,0.62,0.63,0.61,0.65,0.48,0.62,LB,DEF,2
Shawn Adewoye,CB,Belgium,0.69,0.66,0.24,0.47,0.45,0.68,0.72,0.68,0.65,0.58,0.62,0.5,0.66,0.77,0.63,0.78,0.7,0.68,0.68,0.67,0.68,0.35,CB,DEF,5
Saad Agouzoul,CB,Morocco,0.69,0.44,0.38,0.53,0.51,0.7,0.67,0.42,0.46,0.34,0.43,0.58,0.68,0.77,0.47,0.69,0.69,0.67,0.71,0.72,0.69,0.46,CB,DEF,3
Pablo Aguilar,CB,Paraguay,0.69,0.51,0.52,0.54,0.57,0.7,0.7,0.52,0.5,0.58,0.53,0.61,0.62,0.74,0.6,0.75,0.68,0.69,0.72,0.68,0.75,0.65,CB,DEF,3
Martín,RB,Spain,0.69,0.63,0.35,0.61,0.67,0.67,0.64,0.67,0.59,0.68,0.65,0.7,0.69,0.61,0.69,0.69,0.67,0.66,0.68,0.68,0.66,0.47,RB,DEF,2
Lucas Ahijado,RB,Spain,0.69,0.77,0.59,0.63,0.67,0.63,0.66,0.75,0.78,0.76,0.75,0.66,0.63,0.64,0.82,0.68,0.66,0.64,0.62,0.65,0.54,0.66,RB,DEF,2
Arlind Ajeti,CB,Albania,0.69,0.61,0.35,0.52,0.54,0.67,0.78,0.6,0.62,0.51,0.75,0.59,0.66,0.84,0.64,0.78,0.69,0.67,0.64,0.67,0.68,0.52,CB,DEF,3
Samet Akaydın,CB,Turkey,0.69,0.61,0.37,0.44,0.49,0.69,0.76,0.59,0.62,0.56,0.49,0.52,0.69,0.78,0.7,0.76,0.69,0.69,0.68,0.69,0.7,0.5,CB,DEF,3
Abdulelah Al Amri,CB,Saudi Arabia,0.69,0.69,0.29,0.49,0.47,0.67,0.81,0.63,0.73,0.55,0.51,0.4,0.63,0.8,0.76,0.94,0.66,0.7,0.61,0.68,0.78,0.49,CB,DEF,3
Yasser Al Shahrani,LB,Saudi Arabia,0.69,0.75,0.54,0.65,0.7,0.65,0.61,0.83,0.69,0.85,0.73,0.69,0.66,0.57,0.71,0.71,0.65,0.66,0.65,0.67,0.55,0.68,LB,DEF,2
Ricardo Santos,CB,Portugal,0.69,0.67,0.39,0.47,0.49,0.67,0.86,0.7,0.65,0.33,0.34,0.49,0.65,0.95,0.84,0.77,0.68,0.66,0.67,0.66,0.68,0.56,CB,DEF,3
Stephan Ambrosius,CB,Ghana,0.69,0.65,0.3,0.45,0.52,0.68,0.75,0.7,0.61,0.71,0.64,0.56,0.64,0.8,0.65,0.79,0.71,0.66,0.66,0.67,0.66,0.48,CB,DEF,3
Emiliano Amor,CB,Argentina,0.69,0.47,0.36,0.47,0.5,0.69,0.72,0.48,0.46,0.42,0.43,0.54,0.65,0.8,0.52,0.76,0.69,0.65,0.7,0.67,0.72,0.45,CB,DEF,3
Stelios Andreou,CB,Cyprus,0.69,0.71,0.3,0.55,0.56,0.68,0.76,0.63,0.78,0.62,0.59,0.58,0.64,0.77,0.78,0.76,0.71,0.67,0.66,0.68,0.67,0.48,CB,DEF,3
Anderson Angulo,CB,Colombia,0.69,0.63,0.26,0.38,0.46,0.7,0.74,0.65,0.61,0.44,0.5,0.58,0.65,0.82,0.65,0.79,0.71,0.68,0.73,0.67,0.66,0.4,CB,DEF,3
Álvaro Angulo,LB,Colombia,0.69,0.92,0.36,0.58,0.66,0.58,0.63,0.93,0.91,0.84,0.8,0.62,0.62,0.5,0.87,0.73,0.59,0.62,0.54,0.61,0.6,0.35,LB,DEF,1
Bright Akwo Arrey-Mbi,CB,Germany,0.69,0.84,0.29,0.47,0.57,0.67,0.78,0.76,0.9,0.69,0.68,0.58,0.67,0.8,0.8,0.83,0.69,0.68,0.66,0.65,0.67,0.38,CB,DEF,2
Anderson Arroyo,CB,Colombia,0.69,0.71,0.29,0.55,0.61,0.69,0.74,0.72,0.7,0.66,0.71,0.61,0.67,0.7,0.82,0.76,0.69,0.7,0.67,0.7,0.68,0.28,CB,DEF,2
Carlos Ascues,CB,Peru,0.69,0.57,0.61,0.6,0.66,0.67,0.75,0.59,0.56,0.6,0.65,0.68,0.68,0.78,0.72,0.75,0.68,0.65,0.63,0.71,0.67,0.65,CB,DEF,2
Mehmet Can Aydın,RB,Turkey,0.69,0.77,0.58,0.64,0.73,0.65,0.66,0.79,0.75,0.79,0.78,0.7,0.68,0.62,0.68,0.68,0.68,0.65,0.65,0.67,0.5,0.65,RB,DEF,2
Paulo Azzi,LB,Brazil,0.69,0.82,0.63,0.64,0.71,0.61,0.69,0.79,0.84,0.74,0.64,0.68,0.7,0.68,0.73,0.74,0.62,0.6,0.58,0.64,0.58,0.72,LB,DEF,2
Jonas Bager,CB,Denmark,0.69,0.71,0.31,0.49,0.56,0.69,0.75,0.72,0.7,0.7,0.66,0.64,0.67,0.77,0.72,0.8,0.7,0.69,0.68,0.69,0.65,0.44,CB,DEF,2
Samson Baidoo,CB,Austria,0.69,0.7,0.26,0.5,0.6,0.68,0.69,0.72,0.69,0.53,0.56,0.67,0.61,0.74,0.56,0.78,0.71,0.7,0.69,0.64,0.65,0.39,CB,DEF,3
Bünyamin Balcı,RB,Turkey,0.69,0.74,0.45,0.61,0.67,0.64,0.66,0.72,0.76,0.73,0.81,0.64,0.64,0.61,0.78,0.65,0.67,0.65,0.63,0.65,0.52,0.63,RB,DEF,2
Botond Balogh,CB,Hungary,0.69,0.53,0.33,0.46,0.46,0.71,0.66,0.45,0.59,0.43,0.43,0.52,0.67,0.76,0.48,0.74,0.73,0.67,0.72,0.69,0.73,0.45,CB,DEF,3
Alex Bangura,LB,Sierra Leone,0.69,0.92,0.3,0.51,0.69,0.6,0.78,0.93,0.92,0.8,0.64,0.62,0.62,0.77,0.9,0.81,0.64,0.62,0.58,0.61,0.5,0.45,LB,DEF,2
Dani Barcia,CB,Spain,0.69,0.61,0.21,0.44,0.43,0.71,0.61,0.63,0.6,0.49,0.56,0.63,0.73,0.59,0.56,0.67,0.69,0.68,0.74,0.75,0.67,0.31,CB,DEF,3
Danny Batth,CB,England,0.69,0.3,0.23,0.41,0.38,0.69,0.8,0.28,0.32,0.28,0.33,0.45,0.64,0.91,0.6,0.74,0.7,0.64,0.7,0.69,0.71,0.32,CB,DEF,5
Owen Beck,LB,Wales,0.69,0.71,0.51,0.64,0.71,0.64,0.67,0.72,0.71,0.81,0.83,0.65,0.68,0.63,0.7,0.63,0.67,0.69,0.62,0.66,0.48,0.68,LB,DEF,2
Mortadha Ben Ouanes,LB,Tunisia,0.69,0.72,0.6,0.68,0.68,0.66,0.65,0.73,0.72,0.68,0.63,0.69,0.63,0.63,0.7,0.7,0.67,0.66,0.69,0.64,0.59,0.65,LB,DEF,2
Di'Shon Bernard,CB,Jamaica,0.69,0.66,0.4,0.53,0.59,0.67,0.75,0.61,0.7,0.59,0.52,0.6,0.67,0.82,0.67,0.77,0.68,0.67,0.67,0.68,0.65,0.48,CB,DEF,3
Maxime Bernauer,CB,France,0.69,0.67,0.53,0.73,0.69,0.68,0.7,0.71,0.64,0.67,0.63,0.73,0.68,0.72,0.67,0.78,0.67,0.67,0.67,0.69,0.69,0.71,CB,DEF,2
Luis Binks,CB,England,0.69,0.58,0.3,0.52,0.57,0.67,0.78,0.54,0.61,0.51,0.55,0.63,0.67,0.82,0.71,0.76,0.66,0.64,0.68,0.69,0.7,0.43,CB,DEF,3
Miha Blažič,CB,Slovenia,0.69,0.56,0.34,0.53,0.46,0.7,0.67,0.52,0.6,0.5,0.54,0.59,0.68,0.79,0.43,0.74,0.7,0.67,0.7,0.7,0.7,0.48,CB,DEF,3
Jordan Bos,LB,Australia,0.69,0.87,0.58,0.6,0.69,0.61,0.79,0.83,0.9,0.78,0.82,0.65,0.66,0.8,0.83,0.83,0.62,0.61,0.6,0.63,0.58,0.66,LB,DEF,2
Michael Boxall,CB,New Zealand,0.69,0.54,0.42,0.58,0.57,0.67,0.8,0.4,0.66,0.47,0.5,0.6,0.66,0.91,0.67,0.73,0.69,0.66,0.66,0.67,0.65,0.61,CB,DEF,3
Dedryck Boyata,CB,Belgium,0.69,0.55,0.3,0.5,0.57,0.69,0.73,0.54,0.55,0.58,0.61,0.59,0.64,0.8,0.6,0.78,0.69,0.68,0.69,0.67,0.71,0.54,CB,DEF,3
Chumi,CB,Spain,0.69,0.51,0.36,0.53,0.56,0.7,0.68,0.5,0.52,0.38,0.57,0.66,0.68,0.72,0.56,0.69,0.71,0.7,0.7,0.69,0.67,0.47,CB,DEF,3
