Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,att_cluster
Benjamin Verbič,LW,Slovenia,0.72,0.81,0.7,0.66,0.75,0.44,0.68,0.83,0.79,0.78,0.78,0.75,0.69,0.67,0.65,0.79,0.4,0.35,0.48,0.36,0.65,0.72,LW,ATT,3
Matěj Vydra,ST,Czech Republic,0.72,0.76,0.73,0.65,0.71,0.36,0.63,0.78,0.74,0.72,0.73,0.71,0.72,0.67,0.61,0.76,0.26,0.32,0.4,0.31,0.64,0.76,ST,ATT,4
Luca Waldschmidt,ST,Germany,0.72,0.73,0.76,0.7,0.76,0.29,0.61,0.77,0.69,0.77,0.76,0.75,0.73,0.64,0.67,0.72,0.19,0.18,0.33,0.28,0.56,0.81,ST,ATT,4
Diego Zabala,RW,Uruguay,0.72,0.69,0.72,0.73,0.74,0.39,0.58,0.69,0.69,0.75,0.73,0.74,0.63,0.67,0.66,0.69,0.37,0.38,0.39,0.3,0.59,0.74,RW,ATT,3
Arbër Zeneli,LW,Kosovo,0.72,0.69,0.7,0.72,0.75,0.35,0.57,0.7,0.69,0.75,0.75,0.75,0.69,0.53,0.61,0.58,0.33,0.24,0.33,0.39,0.5,0.74,LW,ATT,7
Matthis Abline,ST,France,0.71,0.77,0.72,0.56,0.72,0.24,0.55,0.79,0.75,0.76,0.74,0.73,0.59,0.62,0.55,0.76,0.22,0.18,0.2,0.14,0.68,0.72,ST,ATT,4
Barış Atik,LW,Turkey,0.71,0.71,0.68,0.68,0.76,0.39,0.55,0.79,0.64,0.92,0.88,0.74,0.62,0.44,0.85,0.48,0.36,0.33,0.5,0.33,0.33,0.67,LW,ATT,7
Adrián Balboa,ST,Uruguay,0.71,0.57,0.73,0.52,0.65,0.28,0.76,0.54,0.59,0.63,0.41,0.66,0.67,0.88,0.63,0.85,0.17,0.16,0.27,0.27,0.76,0.79,ST,ATT,1
Ashley Barnes,ST,England,0.71,0.47,0.72,0.69,0.69,0.47,0.79,0.5,0.44,0.66,0.66,0.71,0.77,0.81,0.66,0.78,0.46,0.39,0.44,0.41,0.74,0.75,ST,ATT,1
Chris Bedia,ST,Côte d'Ivoire,0.71,0.68,0.71,0.54,0.67,0.33,0.78,0.67,0.69,0.69,0.6,0.67,0.7,0.82,0.67,0.8,0.36,0.27,0.19,0.32,0.69,0.73,ST,ATT,4
Mohamed Belloumi,RW,Algeria,0.71,0.77,0.66,0.67,0.73,0.39,0.54,0.79,0.76,0.78,0.71,0.74,0.66,0.46,0.72,0.53,0.45,0.4,0.36,0.33,0.4,0.67,RW,ATT,7
Robert Berić,ST,Slovenia,0.71,0.56,0.71,0.63,0.66,0.38,0.79,0.63,0.51,0.58,0.51,0.7,0.74,0.86,0.73,0.85,0.3,0.23,0.38,0.38,0.74,0.73,ST,ATT,1
Federico Bonazzoli,ST,Italy,0.71,0.65,0.71,0.62,0.71,0.28,0.59,0.68,0.63,0.69,0.55,0.73,0.7,0.67,0.53,0.73,0.22,0.29,0.21,0.26,0.7,0.73,ST,ATT,4
Umut Bozok,ST,Turkey,0.71,0.75,0.71,0.64,0.72,0.33,0.66,0.74,0.76,0.77,0.75,0.71,0.71,0.66,0.7,0.75,0.26,0.24,0.35,0.28,0.67,0.73,ST,ATT,4
Marc Cardona,ST,Spain,0.71,0.79,0.69,0.62,0.7,0.27,0.69,0.8,0.78,0.76,0.6,0.71,0.71,0.66,0.81,0.81,0.17,0.12,0.28,0.24,0.71,0.7,ST,ATT,4
Gonzalo Carneiro,ST,Uruguay,0.71,0.71,0.72,0.59,0.69,0.26,0.72,0.63,0.78,0.69,0.61,0.7,0.64,0.8,0.65,0.77,0.23,0.48,0.12,0.18,0.69,0.7,ST,ATT,4
Giuseppe Caso,LW,Italy,0.71,0.79,0.68,0.63,0.75,0.27,0.41,0.8,0.79,0.82,0.85,0.73,0.7,0.36,0.39,0.52,0.28,0.27,0.23,0.24,0.45,0.72,LW,ATT,7
Nélson Oliveira,ST,Portugal,0.71,0.67,0.72,0.64,0.69,0.37,0.74,0.65,0.68,0.68,0.68,0.71,0.71,0.77,0.68,0.73,0.4,0.29,0.27,0.36,0.71,0.77,ST,ATT,4
Žan Celar,ST,Slovenia,0.71,0.74,0.72,0.57,0.69,0.27,0.75,0.76,0.73,0.7,0.65,0.71,0.59,0.77,0.74,0.83,0.21,0.22,0.24,0.23,0.7,0.75,ST,ATT,4
Youssef Chermiti,ST,Portugal,0.71,0.67,0.68,0.55,0.69,0.33,0.71,0.66,0.67,0.67,0.52,0.71,0.72,0.79,0.61,0.74,0.25,0.25,0.29,0.33,0.74,0.71,ST,ATT,4
Antonio Čolak,ST,Croatia,0.71,0.66,0.73,0.57,0.69,0.34,0.78,0.65,0.67,0.69,0.64,0.72,0.68,0.79,0.79,0.82,0.31,0.2,0.32,0.28,0.73,0.72,ST,ATT,4
Enzo Copetti,ST,Argentina,0.71,0.79,0.68,0.63,0.68,0.49,0.78,0.78,0.79,0.66,0.84,0.68,0.72,0.74,0.79,0.86,0.5,0.47,0.41,0.47,0.74,0.75,ST,ATT,3
Fábio Ronaldo,LW,Portugal,0.71,0.84,0.68,0.63,0.74,0.62,0.63,0.86,0.83,0.83,0.75,0.72,0.63,0.62,0.77,0.75,0.6,0.64,0.62,0.66,0.58,0.76,LW,ATT,2
Enzo Crivelli,ST,France,0.71,0.64,0.7,0.61,0.65,0.35,0.84,0.53,0.73,0.63,0.5,0.67,0.72,0.9,0.73,0.82,0.34,0.23,0.34,0.25,0.74,0.78,ST,ATT,1
Edgar,ST,Brazil,0.71,0.56,0.72,0.61,0.64,0.31,0.77,0.57,0.56,0.4,0.57,0.71,0.66,0.87,0.57,0.86,0.27,0.25,0.26,0.25,0.77,0.75,ST,ATT,1
Oday Dabbagh,ST,Palestine,0.71,0.73,0.72,0.58,0.67,0.35,0.75,0.72,0.74,0.6,0.63,0.7,0.66,0.81,0.69,0.86,0.31,0.26,0.3,0.33,0.72,0.76,ST,ATT,4
Keinan Davis,ST,England,0.71,0.64,0.69,0.54,0.71,0.43,0.81,0.61,0.67,0.65,0.67,0.72,0.67,0.91,0.62,0.86,0.38,0.23,0.44,0.44,0.74,0.72,ST,ATT,1
Rúben Lameiras,RW,Portugal,0.71,0.74,0.68,0.69,0.74,0.42,0.62,0.75,0.74,0.81,0.8,0.74,0.73,0.57,0.69,0.57,0.48,0.49,0.29,0.48,0.4,0.7,RW,ATT,2
Liam Delap,ST,England,0.71,0.76,0.7,0.58,0.7,0.29,0.74,0.74,0.77,0.73,0.61,0.71,0.65,0.79,0.69,0.82,0.23,0.21,0.28,0.22,0.69,0.76,ST,ATT,4
Francesco Di Mariano,LW,Italy,0.71,0.77,0.67,0.65,0.74,0.56,0.64,0.79,0.75,0.79,0.79,0.73,0.7,0.63,0.63,0.74,0.54,0.52,0.55,0.58,0.6,0.7,LW,ATT,2
Dimitris Diamantakos,ST,Greece,0.71,0.74,0.73,0.59,0.66,0.29,0.76,0.77,0.72,0.7,0.71,0.63,0.66,0.78,0.72,0.88,0.26,0.29,0.25,0.19,0.74,0.72,ST,ATT,4
Denis Drăguș,ST,Romania,0.71,0.8,0.7,0.56,0.75,0.19,0.71,0.78,0.81,0.78,0.74,0.75,0.62,0.71,0.72,0.84,0.1,0.19,0.16,0.12,0.71,0.62,ST,ATT,4
Jeremy Ebobisse,ST,Cameroon,0.71,0.77,0.67,0.61,0.68,0.34,0.8,0.76,0.78,0.77,0.7,0.69,0.72,0.82,0.83,0.89,0.32,0.28,0.24,0.35,0.72,0.71,ST,ATT,4
Maximilian Entrup,ST,Austria,0.71,0.71,0.73,0.55,0.67,0.28,0.71,0.7,0.72,0.74,0.64,0.7,0.63,0.72,0.72,0.8,0.2,0.23,0.25,0.24,0.72,0.74,ST,ATT,4
Mamadou Fall,ST,Senegal,0.71,0.88,0.67,0.61,0.69,0.37,0.74,0.83,0.92,0.78,0.67,0.67,0.63,0.78,0.76,0.86,0.35,0.23,0.42,0.26,0.68,0.74,ST,ATT,4
Joca,RW,Portugal,0.71,0.77,0.7,0.66,0.76,0.54,0.46,0.76,0.77,0.89,0.92,0.73,0.67,0.33,0.69,0.54,0.55,0.51,0.54,0.58,0.41,0.76,RW,ATT,2
Paolo Fernandes,RW,Spain,0.71,0.77,0.68,0.64,0.78,0.36,0.59,0.81,0.74,0.85,0.83,0.77,0.66,0.55,0.68,0.59,0.34,0.26,0.42,0.36,0.38,0.7,RW,ATT,7
Clayton,ST,Brazil,0.71,0.71,0.74,0.61,0.65,0.24,0.7,0.7,0.71,0.66,0.6,0.62,0.68,0.78,0.66,0.82,0.14,0.15,0.2,0.25,0.71,0.72,ST,ATT,4
Sebastián Fernández,ST,Uruguay,0.71,0.71,0.72,0.67,0.67,0.4,0.46,0.76,0.67,0.78,0.84,0.71,0.76,0.39,0.52,0.7,0.2,0.43,0.45,0.44,0.77,0.62,ST,ATT,7
Facundo Ferreyra,ST,Argentina,0.71,0.5,0.72,0.58,0.73,0.3,0.68,0.49,0.51,0.75,0.64,0.75,0.7,0.77,0.57,0.76,0.29,0.26,0.22,0.23,0.74,0.74,ST,ATT,1
Daniel Fila,ST,Czech Republic,0.71,0.72,0.71,0.52,0.7,0.28,0.72,0.69,0.74,0.61,0.59,0.74,0.67,0.78,0.6,0.79,0.22,0.23,0.27,0.19,0.69,0.7,ST,ATT,4
Edison Flores,LW,Peru,0.71,0.77,0.69,0.67,0.72,0.37,0.59,0.76,0.78,0.79,0.79,0.71,0.67,0.65,0.7,0.66,0.38,0.25,0.38,0.36,0.46,0.68,LW,ATT,7
Nicholas Gioacchini,ST,United States,0.71,0.81,0.71,0.57,0.71,0.29,0.72,0.78,0.84,0.65,0.65,0.74,0.68,0.74,0.73,0.8,0.24,0.17,0.27,0.26,0.63,0.7,ST,ATT,4
Santiago Giordana,ST,Argentina,0.71,0.67,0.72,0.58,0.67,0.29,0.67,0.66,0.67,0.72,0.71,0.68,0.69,0.7,0.7,0.73,0.29,0.29,0.17,0.27,0.7,0.66,ST,ATT,4
Mario González,ST,Spain,0.71,0.68,0.7,0.64,0.71,0.22,0.68,0.65,0.71,0.73,0.68,0.73,0.68,0.75,0.75,0.79,0.15,0.18,0.18,0.16,0.72,0.7,ST,ATT,4
Jens Petter Hauge,LW,Norway,0.71,0.78,0.67,0.65,0.74,0.4,0.64,0.83,0.74,0.8,0.76,0.73,0.66,0.67,0.75,0.7,0.37,0.32,0.43,0.39,0.49,0.69,LW,ATT,2
Thomas Henry,ST,France,0.71,0.47,0.73,0.64,0.64,0.39,0.79,0.39,0.53,0.53,0.44,0.73,0.72,0.86,0.6,0.79,0.39,0.29,0.39,0.25,0.76,0.8,ST,ATT,1
George Hirst,ST,England,0.71,0.76,0.7,0.55,0.67,0.41,0.76,0.74,0.78,0.65,0.69,0.7,0.68,0.81,0.73,0.87,0.38,0.32,0.35,0.42,0.73,0.72,ST,ATT,4
Pietro Iemmello,ST,Italy,0.71,0.82,0.7,0.55,0.71,0.22,0.68,0.8,0.83,0.8,0.77,0.71,0.66,0.73,0.85,0.8,0.14,0.12,0.17,0.24,0.64,0.69,ST,ATT,4
Roberto Insigne,RW,Italy,0.71,0.85,0.67,0.71,0.72,0.29,0.57,0.88,0.82,0.85,0.84,0.7,0.65,0.59,0.61,0.77,0.23,0.22,0.3,0.22,0.66,0.7,RW,ATT,7
Mikael Ishak,ST,Sweden,0.71,0.72,0.71,0.57,0.64,0.38,0.8,0.69,0.74,0.62,0.67,0.66,0.66,0.9,0.71,0.84,0.43,0.46,0.24,0.3,0.7,0.73,ST,ATT,4
Franco Jara,ST,Argentina,0.71,0.61,0.74,0.64,0.69,0.3,0.67,0.54,0.66,0.74,0.61,0.68,0.67,0.76,0.52,0.72,0.29,0.29,0.19,0.28,0.66,0.75,ST,ATT,1
Bakery Jatta,RW,Gambia,0.71,0.83,0.68,0.66,0.67,0.46,0.77,0.84,0.83,0.67,0.59,0.65,0.64,0.78,0.87,0.82,0.57,0.37,0.39,0.39,0.58,0.73,RW,ATT,2
Alexander Jeremejeff,ST,Sweden,0.71,0.67,0.7,0.61,0.63,0.29,0.7,0.65,0.69,0.54,0.4,0.68,0.69,0.83,0.68,0.84,0.21,0.17,0.33,0.18,0.74,0.66,ST,ATT,1
Dennis Johnsen,ST,Norway,0.71,0.92,0.7,0.67,0.73,0.39,0.69,0.91,0.92,0.85,0.73,0.71,0.7,0.73,0.77,0.78,0.35,0.33,0.4,0.4,0.5,0.73,ST,ATT,3
Adam Karabec,RW,Czech Republic,0.71,0.73,0.65,0.69,0.74,0.34,0.62,0.74,0.73,0.8,0.71,0.72,0.68,0.64,0.67,0.65,0.32,0.38,0.33,0.29,0.49,0.66,RW,ATT,7
Sinan Karweina,ST,Germany,0.71,0.81,0.72,0.65,0.71,0.41,0.69,0.82,0.8,0.82,0.85,0.72,0.64,0.67,0.72,0.79,0.43,0.38,0.34,0.37,0.68,0.73,ST,ATT,3
Dawid Kownacki,ST,Poland,0.71,0.74,0.72,0.63,0.72,0.34,0.68,0.76,0.73,0.75,0.68,0.72,0.68,0.68,0.69,0.77,0.25,0.23,0.3,0.43,0.67,0.77,ST,ATT,4
Jean-Philippe Krasso,ST,Côte d'Ivoire,0.71,0.66,0.71,0.63,0.71,0.21,0.69,0.68,0.65,0.64,0.53,0.74,0.67,0.83,0.69,0.8,0.18,0.14,0.16,0.12,0.68,0.71,ST,ATT,4
Grejohn Kyei,ST,France,0.71,0.62,0.7,0.54,0.7,0.27,0.78,0.56,0.66,0.64,0.63,0.71,0.69,0.87,0.68,0.86,0.23,0.18,0.24,0.19,0.77,0.72,ST,ATT,1
Jordan Larsson,RW,Sweden,0.71,0.81,0.7,0.68,0.72,0.34,0.7,0.84,0.79,0.8,0.82,0.71,0.72,0.64,0.73,0.78,0.25,0.28,0.32,0.36,0.64,0.72,RW,ATT,4
Emmanuel Latte Lath,ST,Côte d'Ivoire,0.71,0.91,0.69,0.59,0.73,0.37,0.65,0.92,0.91,0.91,0.81,0.71,0.69,0.63,0.71,0.82,0.41,0.45,0.26,0.25,0.69,0.71,ST,ATT,7
Danny Loader,ST,England,0.71,0.79,0.7,0.61,0.75,0.23,0.68,0.79,0.79,0.8,0.73,0.76,0.71,0.76,0.72,0.78,0.15,0.19,0.23,0.2,0.56,0.71,ST,ATT,4
Saba Lobjanidze,RW,Georgia,0.71,0.82,0.66,0.66,0.74,0.25,0.55,0.78,0.86,0.86,0.79,0.7,0.64,0.46,0.71,0.59,0.22,0.23,0.23,0.2,0.51,0.7,RW,ATT,7
Renzo López,ST,Uruguay,0.71,0.61,0.72,0.53,0.67,0.26,0.77,0.59,0.62,0.56,0.45,0.73,0.66,0.82,0.74,0.84,0.22,0.23,0.18,0.2,0.76,0.72,ST,ATT,1
Augusto Lotti,ST,Argentina,0.71,0.76,0.71,0.58,0.7,0.3,0.71,0.74,0.78,0.69,0.72,0.73,0.64,0.79,0.73,0.81,0.35,0.31,0.19,0.19,0.67,0.75,ST,ATT,4
Josh Maja,ST,Nigeria,0.71,0.76,0.72,0.62,0.71,0.28,0.63,0.74,0.77,0.71,0.72,0.72,0.7,0.68,0.71,0.75,0.22,0.23,0.33,0.14,0.65,0.73,ST,ATT,4
Antonio Marchesano,ST,Switzerland,0.71,0.69,0.74,0.7,0.76,0.45,0.6,0.73,0.66,0.88,0.91,0.78,0.73,0.49,0.8,0.64,0.46,0.52,0.44,0.35,0.62,0.72,ST,ATT,3
João Marques,LW,Portugal,0.71,0.7,0.69,0.69,0.73,0.41,0.54,0.74,0.67,0.76,0.68,0.73,0.68,0.5,0.64,0.58,0.45,0.42,0.43,0.28,0.48,0.69,LW,ATT,7
Federico Martínez,ST,Uruguay,0.71,0.76,0.68,0.68,0.75,0.41,0.73,0.74,0.77,0.82,0.74,0.73,0.68,0.76,0.72,0.8,0.48,0.27,0.34,0.37,0.66,0.73,ST,ATT,3
Barbero,ST,Spain,0.71,0.67,0.71,0.56,0.66,0.22,0.67,0.65,0.69,0.5,0.46,0.7,0.7,0.78,0.65,0.81,0.19,0.1,0.15,0.17,0.71,0.68,ST,ATT,1
Igor Matanović,ST,Germany,0.71,0.63,0.69,0.53,0.67,0.34,0.77,0.62,0.64,0.54,0.47,0.72,0.69,0.8,0.81,0.81,0.24,0.27,0.34,0.32,0.72,0.73,ST,ATT,1
Kasey McAteer,RW,England,0.71,0.81,0.67,0.66,0.71,0.53,0.64,0.83,0.8,0.74,0.76,0.73,0.67,0.61,0.68,0.74,0.57,0.49,0.56,0.43,0.58,0.68,RW,ATT,2
Yorleys Mena,ST,Colombia,0.71,0.66,0.73,0.5,0.67,0.35,0.67,0.67,0.66,0.7,0.49,0.68,0.65,0.78,0.7,0.82,0.33,0.25,0.42,0.12,0.72,0.73,ST,ATT,4
Mauro Méndez,ST,Uruguay,0.71,0.7,0.7,0.67,0.69,0.37,0.7,0.71,0.7,0.53,0.77,0.72,0.69,0.8,0.61,0.85,0.29,0.51,0.32,0.31,0.71,0.72,ST,ATT,4
Sven Michel,ST,Germany,0.71,0.69,0.73,0.66,0.74,0.34,0.72,0.76,0.63,0.76,0.75,0.74,0.74,0.71,0.76,0.73,0.31,0.22,0.34,0.32,0.54,0.78,ST,ATT,4
Martin Minchev,ST,Bulgaria,0.71,0.82,0.69,0.63,0.69,0.34,0.74,0.8,0.83,0.68,0.65,0.7,0.67,0.76,0.62,0.83,0.31,0.39,0.27,0.3,0.68,0.73,ST,ATT,4
Pedro Mendes,ST,Portugal,0.71,0.72,0.74,0.56,0.68,0.34,0.76,0.69,0.74,0.8,0.65,0.68,0.66,0.84,0.61,0.81,0.38,0.26,0.26,0.28,0.7,0.77,ST,ATT,4
Tomás Molina,ST,Argentina,0.71,0.81,0.7,0.56,0.67,0.24,0.68,0.81,0.81,0.71,0.67,0.67,0.68,0.8,0.71,0.86,0.16,0.15,0.25,0.17,0.68,0.67,ST,ATT,4
Felipe Mora,ST,Chile,0.71,0.72,0.71,0.55,0.7,0.26,0.61,0.73,0.72,0.74,0.69,0.7,0.68,0.67,0.61,0.75,0.23,0.18,0.22,0.21,0.69,0.72,ST,ATT,4
Jordan Morris,ST,United States,0.71,0.82,0.66,0.61,0.66,0.38,0.78,0.82,0.82,0.68,0.69,0.65,0.7,0.8,0.72,0.9,0.3,0.27,0.42,0.33,0.73,0.78,ST,ATT,4
Jessic Ngankam,ST,Germany,0.71,0.82,0.7,0.61,0.72,0.27,0.73,0.8,0.84,0.7,0.75,0.7,0.67,0.78,0.7,0.82,0.36,0.19,0.17,0.15,0.62,0.75,ST,ATT,4
Kevin Nisbet,ST,Scotland,0.71,0.65,0.73,0.62,0.69,0.37,0.71,0.66,0.64,0.71,0.7,0.7,0.7,0.73,0.74,0.75,0.33,0.32,0.3,0.4,0.7,0.74,ST,ATT,4
Jean-Pierre Nsame,ST,Cameroon,0.71,0.66,0.71,0.53,0.71,0.27,0.8,0.63,0.68,0.58,0.67,0.74,0.67,0.87,0.75,0.88,0.19,0.15,0.28,0.18,0.78,0.76,ST,ATT,4
Randy Nteka,ST,France,0.71,0.72,0.7,0.64,0.71,0.54,0.83,0.74,0.71,0.77,0.78,0.71,0.68,0.88,0.78,0.89,0.55,0.54,0.41,0.63,0.71,0.74,ST,ATT,3
Jonathan Okita,LW,Congo DR,0.71,0.83,0.69,0.67,0.71,0.33,0.68,0.82,0.84,0.82,0.76,0.7,0.68,0.71,0.74,0.78,0.38,0.36,0.25,0.26,0.57,0.69,LW,ATT,4
Cristian Olivera,RW,Uruguay,0.71,0.85,0.65,0.62,0.76,0.36,0.48,0.86,0.85,0.84,0.82,0.75,0.53,0.42,0.59,0.53,0.31,0.32,0.44,0.32,0.4,0.65,RW,ATT,7
Estanis,RW,Spain,0.71,0.78,0.67,0.66,0.75,0.23,0.49,0.75,0.8,0.77,0.65,0.75,0.59,0.47,0.56,0.58,0.16,0.16,0.21,0.24,0.53,0.7,RW,ATT,7
Jorge Pereyra Díaz,ST,Argentina,0.71,0.76,0.71,0.63,0.7,0.42,0.62,0.78,0.74,0.73,0.61,0.72,0.73,0.56,0.72,0.73,0.33,0.38,0.44,0.39,0.68,0.69,ST,ATT,2
Maximilian Philipp,ST,Germany,0.71,0.72,0.73,0.69,0.76,0.42,0.58,0.73,0.72,0.75,0.75,0.77,0.74,0.65,0.61,0.67,0.48,0.34,0.39,0.39,0.5,0.76,ST,ATT,3
Roberto Piccoli,ST,Italy,0.71,0.67,0.72,0.54,0.65,0.34,0.66,0.62,0.71,0.55,0.57,0.7,0.75,0.7,0.56,0.76,0.38,0.34,0.23,0.25,0.74,0.73,ST,ATT,1
Lucas Pratto,ST,Argentina,0.71,0.53,0.72,0.69,0.69,0.55,0.77,0.51,0.55,0.5,0.39,0.75,0.7,0.87,0.52,0.77,0.57,0.65,0.45,0.55,0.7,0.77,ST,ATT,1
Jesurun Rak-Sakyi,RW,England,0.71,0.83,0.69,0.63,0.75,0.24,0.51,0.81,0.85,0.81,0.84,0.74,0.63,0.49,0.66,0.56,0.22,0.21,0.22,0.21,0.42,0.7,RW,ATT,7
Benito Raman,ST,Belgium,0.71,0.88,0.7,0.66,0.72,0.33,0.62,0.87,0.88,0.89,0.86,0.68,0.72,0.56,0.74,0.76,0.33,0.31,0.25,0.31,0.67,0.73,ST,ATT,7
Ignacio Ramírez,ST,Uruguay,0.71,0.7,0.72,0.52,0.65,0.25,0.64,0.69,0.7,0.76,0.7,0.69,0.7,0.75,0.55,0.8,0.16,0.17,0.25,0.17,0.72,0.72,ST,ATT,4
Emil Riis,ST,Denmark,0.71,0.73,0.73,0.54,0.67,0.28,0.71,0.65,0.79,0.65,0.56,0.66,0.7,0.75,0.69,0.74,0.25,0.26,0.21,0.24,0.65,0.83,ST,ATT,4
Braian Romero,ST,Argentina,0.71,0.84,0.69,0.63,0.75,0.54,0.75,0.85,0.83,0.89,0.82,0.7,0.69,0.7,0.85,0.81,0.61,0.58,0.44,0.51,0.69,0.71,ST,ATT,2
Maximiliano Romero,ST,Argentina,0.71,0.75,0.68,0.59,0.66,0.46,0.73,0.75,0.75,0.67,0.6,0.69,0.68,0.77,0.71,0.85,0.42,0.41,0.45,0.4,0.73,0.74,ST,ATT,2
Elias Saad,LW,Tunisia,0.71,0.74,0.65,0.65,0.77,0.33,0.56,0.82,0.67,0.85,0.8,0.74,0.68,0.58,0.71,0.65,0.36,0.38,0.28,0.25,0.47,0.69,LW,ATT,7
Pablo Sabbag,ST,Syria,0.71,0.61,0.76,0.5,0.64,0.32,0.7,0.6,0.61,0.59,0.53,0.69,0.64,0.83,0.62,0.78,0.12,0.19,0.41,0.38,0.7,0.78,ST,ATT,1
Curro Sánchez,ST,Spain,0.71,0.77,0.74,0.7,0.72,0.41,0.51,0.81,0.74,0.81,0.82,0.7,0.68,0.43,0.71,0.65,0.38,0.37,0.36,0.4,0.68,0.69,ST,ATT,7
Armindo Sieb,ST,Germany,0.71,0.82,0.71,0.57,0.77,0.26,0.68,0.84,0.8,0.85,0.81,0.76,0.7,0.67,0.8,0.76,0.18,0.11,0.31,0.24,0.57,0.72,ST,ATT,4
Reis,LW,Brazil,0.71,0.81,0.66,0.64,0.74,0.33,0.6,0.83,0.8,0.84,0.82,0.71,0.67,0.56,0.78,0.7,0.22,0.17,0.45,0.27,0.55,0.64,LW,ATT,7
Ellis Simms,ST,England,0.71,0.74,0.71,0.53,0.66,0.34,0.77,0.67,0.8,0.64,0.67,0.63,0.66,0.84,0.67,0.84,0.27,0.23,0.4,0.21,0.71,0.74,ST,ATT,4
Yira Sor,ST,Nigeria,0.71,0.9,0.7,0.63,0.75,0.37,0.58,0.93,0.88,0.87,0.92,0.72,0.68,0.5,0.61,0.74,0.38,0.32,0.31,0.32,0.66,0.73,ST,ATT,7
Ross Stewart,ST,Scotland,0.71,0.73,0.71,0.57,0.64,0.3,0.78,0.76,0.7,0.55,0.49,0.67,0.67,0.81,0.82,0.89,0.24,0.27,0.26,0.23,0.74,0.72,ST,ATT,4
Carlos Strandberg,ST,Sweden,0.71,0.82,0.72,0.54,0.63,0.25,0.8,0.73,0.89,0.42,0.5,0.66,0.68,0.9,0.76,0.84,0.26,0.16,0.23,0.13,0.62,0.79,ST,ATT,4
Kamaldeen Sulemana,LW,Ghana,0.71,0.93,0.65,0.63,0.75,0.28,0.6,0.92,0.94,0.88,0.87,0.72,0.64,0.6,0.65,0.67,0.25,0.25,0.3,0.26,0.42,0.67,LW,ATT,7
Sam Surridge,ST,England,0.71,0.64,0.71,0.56,0.68,0.28,0.7,0.6,0.67,0.63,0.6,0.7,0.67,0.77,0.65,0.79,0.26,0.23,0.22,0.21,0.71,0.72,ST,ATT,4
Cristian Tarragona,ST,Argentina,0.71,0.76,0.72,0.58,0.67,0.43,0.74,0.75,0.76,0.8,0.81,0.69,0.72,0.71,0.72,0.79,0.39,0.35,0.43,0.37,0.7,0.76,ST,ATT,3
Robert Taylor,LW,Finland,0.71,0.82,0.68,0.7,0.71,0.49,0.67,0.79,0.85,0.8,0.62,0.69,0.59,0.63,0.76,0.62,0.51,0.52,0.54,0.43,0.4,0.74,LW,ATT,2
Cedric Teuchert,ST,Germany,0.71,0.7,0.72,0.6,0.73,0.35,0.65,0.69,0.71,0.71,0.69,0.73,0.7,0.65,0.74,0.71,0.27,0.2,0.35,0.4,0.67,0.71,ST,ATT,4
Isaac Kiese Thelin,ST,Sweden,0.71,0.59,0.72,0.59,0.65,0.37,0.82,0.47,0.68,0.63,0.51,0.66,0.74,0.88,0.75,0.79,0.25,0.2,0.45,0.32,0.73,0.71,ST,ATT,1
Jonatan Torres,ST,Argentina,0.71,0.58,0.71,0.54,0.67,0.23,0.7,0.57,0.58,0.64,0.63,0.74,0.7,0.76,0.75,0.82,0.17,0.15,0.17,0.18,0.79,0.75,ST,ATT,1
Aiyegun Tosin,ST,Benin,0.71,0.89,0.71,0.61,0.72,0.38,0.75,0.88,0.89,0.83,0.75,0.68,0.72,0.74,0.75,0.84,0.37,0.39,0.31,0.37,0.64,0.74,ST,ATT,3
Mattéo Tramoni,LW,France,0.71,0.87,0.64,0.66,0.73,0.48,0.64,0.85,0.89,0.92,0.81,0.69,0.67,0.63,0.7,0.75,0.53,0.5,0.44,0.4,0.59,0.58,LW,ATT,2
Sydney van Hooijdonk,ST,Holland,0.71,0.74,0.72,0.57,0.65,0.27,0.73,0.72,0.75,0.63,0.54,0.65,0.69,0.78,0.67,0.81,0.22,0.17,0.27,0.17,0.68,0.76,ST,ATT,4
Gastón Verón,ST,Argentina,0.71,0.72,0.69,0.64,0.72,0.42,0.67,0.74,0.7,0.75,0.56,0.73,0.7,0.71,0.62,0.78,0.38,0.32,0.43,0.39,0.69,0.72,ST,ATT,3
Andrés Vombergar,ST,Slovenia,0.71,0.71,0.68,0.6,0.64,0.33,0.78,0.65,0.75,0.54,0.61,0.69,0.69,0.84,0.69,0.87,0.18,0.35,0.32,0.34,0.77,0.75,ST,ATT,4
Patrik Wålemark,RW,Sweden,0.71,0.73,0.66,0.67,0.73,0.32,0.63,0.77,0.7,0.84,0.69,0.73,0.63,0.64,0.74,0.53,0.29,0.23,0.33,0.35,0.36,0.68,RW,ATT,7
Shon Weissman,ST,Israel,0.71,0.7,0.72,0.63,0.67,0.37,0.73,0.68,0.72,0.68,0.75,0.7,0.72,0.76,0.73,0.77,0.3,0.25,0.43,0.28,0.68,0.76,ST,ATT,4
