Name,Position,Nation,overall,pace,shooting,passing,dribbling,defending,physical,acceleration,sprint_speed,agility,balance,ball_control,reactions,strength,stamina,jumping,standing_tackle,sliding_tackle,def_awareness,interceptions,heading_accuracy,shot_power,primary_pos,pos_group,mid_cluster
Florian Neuhaus,CM,Germany,0.76,0.67,0.71,0.74,0.77,0.66,0.69,0.64,0.69,0.77,0.77,0.78,0.77,0.67,0.74,0.66,0.67,0.64,0.66,0.69,0.55,0.75,CM,MID,5
Salih Özcan,CDM,Turkey,0.76,0.71,0.59,0.68,0.74,0.76,0.79,0.76,0.66,0.77,0.84,0.73,0.72,0.79,0.76,0.86,0.77,0.74,0.74,0.8,0.73,0.65,CDM,MID,5
Carles Pérez,RM,Spain,0.76,0.8,0.74,0.7,0.8,0.37,0.63,0.81,0.79,0.81,0.85,0.83,0.76,0.64,0.64,0.76,0.37,0.34,0.38,0.23,0.62,0.85,RM,MID,1
Portu,RM,Spain,0.76,0.82,0.77,0.73,0.76,0.56,0.76,0.83,0.81,0.82,0.81,0.75,0.74,0.72,0.79,0.82,0.55,0.53,0.55,0.55,0.69,0.8,RM,MID,5
Beñat Prados,CM,Spain,0.76,0.7,0.62,0.74,0.76,0.75,0.76,0.74,0.66,0.79,0.82,0.8,0.81,0.73,0.82,0.77,0.78,0.7,0.79,0.74,0.65,0.7,CM,MID,5
Grischa Prömel,CM,Germany,0.76,0.64,0.73,0.7,0.73,0.75,0.8,0.65,0.63,0.67,0.67,0.75,0.77,0.76,0.89,0.83,0.75,0.72,0.74,0.76,0.77,0.77,CM,MID,5
Lucas Robertone,CM,Argentina,0.76,0.79,0.73,0.76,0.76,0.71,0.72,0.83,0.76,0.85,0.75,0.77,0.75,0.61,0.84,0.85,0.77,0.75,0.61,0.75,0.69,0.78,CM,MID,5
Dani Rodríguez,LM,Spain,0.76,0.81,0.74,0.75,0.73,0.63,0.69,0.78,0.84,0.65,0.7,0.76,0.75,0.68,0.77,0.73,0.69,0.64,0.58,0.64,0.56,0.72,LM,MID,5
Michal Sadílek,CDM,Czech Republic,0.76,0.56,0.65,0.74,0.72,0.72,0.78,0.75,0.4,0.72,0.84,0.73,0.73,0.75,0.84,0.71,0.72,0.74,0.73,0.73,0.64,0.73,CDM,MID,5
Ismael Saibari,CAM,Morocco,0.76,0.81,0.69,0.72,0.79,0.47,0.76,0.78,0.84,0.77,0.78,0.82,0.78,0.82,0.72,0.72,0.49,0.41,0.49,0.47,0.44,0.74,CAM,MID,1
Morgan Sanson,CM,France,0.76,0.65,0.73,0.77,0.76,0.7,0.74,0.69,0.61,0.74,0.69,0.77,0.76,0.72,0.79,0.74,0.74,0.71,0.68,0.71,0.65,0.79,CM,MID,5
Danilo,CDM,Brazil,0.76,0.68,0.63,0.69,0.73,0.73,0.7,0.69,0.68,0.77,0.76,0.76,0.77,0.6,0.84,0.68,0.75,0.69,0.73,0.78,0.6,0.68,CDM,MID,5
Fábio Martins,LM,Portugal,0.76,0.76,0.73,0.71,0.81,0.46,0.7,0.78,0.75,0.85,0.77,0.79,0.77,0.63,0.78,0.76,0.48,0.52,0.37,0.44,0.68,0.78,LM,MID,1
Antoine Semenyo,RM,Ghana,0.76,0.85,0.72,0.67,0.77,0.27,0.75,0.81,0.88,0.73,0.68,0.77,0.74,0.8,0.72,0.83,0.27,0.33,0.2,0.15,0.63,0.78,RM,MID,1
Moses Simon,LM,Nigeria,0.76,0.89,0.69,0.7,0.8,0.33,0.61,0.88,0.89,0.9,0.92,0.77,0.7,0.66,0.69,0.71,0.31,0.33,0.3,0.34,0.46,0.73,LM,MID,1
Manor Solomon,LM,Israel,0.76,0.82,0.72,0.73,0.8,0.43,0.42,0.84,0.81,0.84,0.82,0.75,0.66,0.34,0.66,0.5,0.47,0.35,0.5,0.35,0.38,0.76,LM,MID,1
Willian Arão,CDM,Brazil,0.76,0.67,0.62,0.67,0.68,0.76,0.82,0.65,0.69,0.68,0.57,0.71,0.69,0.82,0.86,0.75,0.77,0.73,0.74,0.79,0.74,0.75,CDM,MID,5
Taras Stepanenko,CDM,Ukraine,0.76,0.64,0.58,0.71,0.69,0.75,0.77,0.66,0.63,0.63,0.73,0.72,0.68,0.76,0.73,0.8,0.75,0.74,0.75,0.76,0.74,0.71,CDM,MID,5
Crysencio Summerville,LM,Holland,0.76,0.91,0.71,0.67,0.79,0.35,0.6,0.93,0.9,0.88,0.83,0.76,0.71,0.57,0.74,0.65,0.38,0.26,0.44,0.18,0.41,0.71,LM,MID,1
Marcus Tavernier,LM,England,0.76,0.77,0.72,0.71,0.78,0.6,0.64,0.78,0.77,0.78,0.79,0.76,0.74,0.6,0.82,0.67,0.66,0.57,0.59,0.59,0.5,0.75,LM,MID,5
Nathan Tella,RM,Nigeria,0.76,0.85,0.7,0.69,0.79,0.36,0.59,0.9,0.81,0.85,0.83,0.78,0.65,0.52,0.75,0.71,0.34,0.27,0.38,0.29,0.58,0.8,RM,MID,1
Corentin Tolisso,CM,France,0.76,0.55,0.76,0.74,0.73,0.74,0.73,0.52,0.57,0.6,0.7,0.75,0.75,0.75,0.66,0.77,0.75,0.72,0.73,0.75,0.77,0.86,CM,MID,5
Lucas Tousart,CDM,France,0.76,0.65,0.56,0.65,0.69,0.76,0.82,0.52,0.75,0.59,0.65,0.7,0.7,0.82,0.82,0.79,0.77,0.75,0.75,0.76,0.75,0.73,CDM,MID,0
Manu Trigueros,CM,Spain,0.76,0.45,0.72,0.78,0.73,0.69,0.62,0.43,0.46,0.65,0.66,0.77,0.75,0.6,0.65,0.6,0.7,0.65,0.69,0.73,0.65,0.78,CM,MID,0
Branco van den Boomen,CM,Holland,0.76,0.51,0.75,0.83,0.69,0.64,0.72,0.54,0.49,0.58,0.39,0.77,0.71,0.73,0.68,0.68,0.68,0.67,0.66,0.57,0.61,0.79,CM,MID,0
Arthur Vermeeren,CDM,Belgium,0.76,0.75,0.55,0.75,0.77,0.71,0.69,0.77,0.74,0.79,0.76,0.78,0.68,0.61,0.9,0.68,0.72,0.66,0.75,0.75,0.52,0.66,CDM,MID,5
Harry Winks,CDM,England,0.76,0.57,0.6,0.76,0.77,0.7,0.68,0.65,0.5,0.76,0.76,0.79,0.77,0.6,0.76,0.62,0.71,0.67,0.73,0.74,0.52,0.69,CDM,MID,5
Zaydou Youssouf,CM,France,0.76,0.7,0.65,0.73,0.79,0.7,0.8,0.68,0.71,0.72,0.74,0.79,0.74,0.81,0.8,0.76,0.72,0.64,0.72,0.7,0.59,0.74,CM,MID,5
Rodrigo Zalazar,CM,Uruguay,0.76,0.78,0.77,0.73,0.78,0.66,0.72,0.77,0.78,0.85,0.81,0.78,0.76,0.65,0.84,0.7,0.68,0.62,0.67,0.69,0.54,0.84,CM,MID,5
Adem Zorgane,CM,Algeria,0.76,0.55,0.71,0.77,0.74,0.69,0.83,0.59,0.52,0.64,0.61,0.77,0.74,0.82,0.91,0.75,0.73,0.68,0.67,0.7,0.62,0.79,CM,MID,5
Oleksandr Zubkov,RM,Ukraine,0.76,0.83,0.72,0.69,0.76,0.28,0.63,0.78,0.87,0.65,0.66,0.76,0.74,0.65,0.67,0.72,0.28,0.24,0.15,0.34,0.56,0.78,RM,MID,1
Laurent Abergel,CDM,France,0.75,0.65,0.5,0.69,0.72,0.71,0.75,0.7,0.61,0.74,0.83,0.74,0.73,0.68,0.9,0.66,0.74,0.73,0.7,0.74,0.53,0.69,CDM,MID,5
Zakaria Aboukhlal,RM,Morocco,0.75,0.84,0.72,0.69,0.75,0.41,0.75,0.86,0.82,0.85,0.75,0.73,0.71,0.72,0.87,0.74,0.44,0.34,0.53,0.2,0.49,0.74,RM,MID,1
Musa Al Tamari,RM,Jordan,0.75,0.89,0.69,0.67,0.8,0.38,0.58,0.88,0.9,0.93,0.88,0.77,0.7,0.51,0.66,0.6,0.41,0.34,0.25,0.54,0.39,0.68,RM,MID,1
Oberdan,CDM,Brazil,0.75,0.82,0.63,0.67,0.73,0.7,0.76,0.79,0.84,0.76,0.77,0.75,0.75,0.75,0.9,0.72,0.74,0.67,0.69,0.77,0.49,0.68,CDM,MID,5
Samu,CM,Portugal,0.75,0.77,0.71,0.72,0.79,0.59,0.65,0.77,0.77,0.83,0.8,0.77,0.7,0.57,0.85,0.64,0.67,0.66,0.47,0.65,0.48,0.68,CM,MID,5
Nordin Amrabat,RM,Morocco,0.75,0.78,0.68,0.74,0.76,0.55,0.86,0.76,0.79,0.82,0.8,0.75,0.73,0.89,0.8,0.83,0.62,0.53,0.45,0.59,0.59,0.73,RM,MID,5
Elliot Anderson,CM,Scotland,0.75,0.72,0.66,0.72,0.79,0.69,0.77,0.75,0.69,0.79,0.83,0.78,0.75,0.76,0.79,0.87,0.71,0.66,0.65,0.68,0.76,0.68,CM,MID,5
Houssem Aouar,CM,Algeria,0.75,0.64,0.68,0.75,0.79,0.64,0.63,0.65,0.64,0.78,0.81,0.8,0.75,0.6,0.66,0.65,0.64,0.58,0.66,0.68,0.59,0.69,CM,MID,5
Claudio Aquino,CAM,Argentina,0.75,0.75,0.75,0.75,0.78,0.45,0.72,0.81,0.7,0.85,0.87,0.77,0.74,0.75,0.69,0.79,0.48,0.43,0.35,0.5,0.58,0.86,CAM,MID,1
Kristjan Asllani,CDM,Albania,0.75,0.66,0.61,0.74,0.74,0.7,0.69,0.65,0.66,0.64,0.74,0.78,0.7,0.65,0.76,0.69,0.74,0.68,0.68,0.71,0.64,0.72,CDM,MID,5
Iddrisu Baba,CDM,Ghana,0.75,0.61,0.64,0.66,0.68,0.71,0.76,0.62,0.61,0.51,0.6,0.72,0.76,0.76,0.77,0.74,0.76,0.71,0.64,0.78,0.64,0.59,CDM,MID,0
Dilane Bakwa,RM,France,0.75,0.85,0.68,0.7,0.78,0.3,0.62,0.81,0.89,0.84,0.71,0.78,0.68,0.69,0.74,0.67,0.26,0.28,0.27,0.35,0.44,0.71,RM,MID,1
Michel Ange Balikwisha,LM,Belgium,0.75,0.82,0.69,0.71,0.76,0.53,0.65,0.84,0.81,0.85,0.79,0.77,0.69,0.52,0.84,0.59,0.6,0.51,0.47,0.62,0.38,0.71,LM,MID,1
Kike Barja,RM,Spain,0.75,0.76,0.67,0.69,0.76,0.35,0.59,0.78,0.74,0.75,0.62,0.77,0.71,0.6,0.66,0.71,0.3,0.31,0.35,0.33,0.59,0.66,RM,MID,1
Jean-Ricner Bellegarde,CM,France,0.75,0.81,0.63,0.73,0.79,0.69,0.72,0.8,0.81,0.83,0.86,0.79,0.75,0.68,0.8,0.76,0.72,0.69,0.68,0.7,0.61,0.69,CM,MID,5
Tomás Belmonte,CDM,Argentina,0.75,0.68,0.65,0.66,0.73,0.73,0.79,0.67,0.69,0.68,0.66,0.75,0.72,0.74,0.84,0.84,0.73,0.67,0.7,0.78,0.81,0.69,CDM,MID,5
Adrián Bernabé,CAM,Spain,0.75,0.79,0.7,0.74,0.78,0.67,0.65,0.83,0.76,0.84,0.85,0.79,0.67,0.55,0.82,0.65,0.72,0.67,0.67,0.68,0.46,0.72,CAM,MID,5
Artem Bondarenko,CAM,Ukraine,0.75,0.75,0.69,0.71,0.75,0.63,0.64,0.73,0.76,0.69,0.56,0.77,0.76,0.6,0.69,0.71,0.64,0.58,0.61,0.67,0.62,0.73,CAM,MID,5
Marius Bülter,LM,Germany,0.75,0.84,0.76,0.68,0.73,0.48,0.76,0.78,0.89,0.69,0.7,0.73,0.75,0.77,0.76,0.81,0.53,0.42,0.45,0.38,0.64,0.83,LM,MID,1
Jamie Bynoe-Gittens,LM,England,0.75,0.9,0.66,0.62,0.82,0.26,0.55,0.92,0.89,0.9,0.84,0.79,0.74,0.54,0.7,0.63,0.22,0.24,0.25,0.26,0.42,0.65,LM,MID,1
Tom Cairney,CM,Scotland,0.75,0.52,0.72,0.78,0.75,0.63,0.65,0.53,0.51,0.68,0.67,0.78,0.77,0.68,0.66,0.64,0.64,0.48,0.67,0.64,0.58,0.73,CM,MID,5
Alessio Castro-Montes,RM,Belgium,0.75,0.75,0.69,0.73,0.73,0.72,0.71,0.74,0.76,0.75,0.75,0.72,0.73,0.63,0.86,0.74,0.73,0.73,0.71,0.72,0.68,0.73,RM,MID,5
Santi Cazorla,CM,Spain,0.75,0.53,0.74,0.81,0.78,0.61,0.56,0.55,0.52,0.69,0.88,0.8,0.71,0.55,0.54,0.61,0.63,0.56,0.63,0.58,0.6,0.74,CM,MID,5
Edwuin Cetré,LM,Colombia,0.75,0.87,0.72,0.67,0.78,0.41,0.69,0.83,0.91,0.88,0.83,0.76,0.72,0.68,0.86,0.72,0.43,0.38,0.4,0.35,0.5,0.74,LM,MID,1
Tomás Chancalay,LM,Argentina,0.75,0.84,0.72,0.7,0.79,0.4,0.62,0.84,0.84,0.85,0.8,0.76,0.69,0.58,0.72,0.72,0.42,0.38,0.3,0.42,0.57,0.79,LM,MID,1
Conor Chaplin,CAM,England,0.75,0.84,0.74,0.7,0.76,0.46,0.64,0.85,0.83,0.89,0.91,0.75,0.74,0.55,0.74,0.79,0.38,0.43,0.5,0.4,0.72,0.72,CAM,MID,1
Rayan Cherki,CAM,France,0.75,0.68,0.67,0.74,0.84,0.21,0.61,0.7,0.66,0.81,0.81,0.79,0.72,0.67,0.55,0.56,0.23,0.15,0.19,0.22,0.28,0.76,CAM,MID,1
Joris Chotard,CDM,France,0.75,0.64,0.57,0.73,0.75,0.71,0.68,0.64,0.64,0.76,0.71,0.75,0.73,0.6,0.77,0.65,0.73,0.66,0.72,0.75,0.58,0.61,CDM,MID,5
Jack Clarke,LM,England,0.75,0.83,0.72,0.68,0.76,0.4,0.6,0.84,0.82,0.84,0.78,0.73,0.73,0.54,0.77,0.64,0.35,0.33,0.46,0.39,0.48,0.71,LM,MID,1
Santiago Colombatto,CDM,Argentina,0.75,0.74,0.7,0.75,0.72,0.7,0.77,0.74,0.74,0.76,0.79,0.73,0.71,0.73,0.84,0.76,0.73,0.72,0.69,0.72,0.61,0.76,CDM,MID,5
Santi Comesaña,CM,Spain,0.75,0.57,0.69,0.68,0.73,0.76,0.74,0.59,0.56,0.61,0.55,0.76,0.77,0.75,0.76,0.72,0.8,0.78,0.77,0.73,0.66,0.69,CM,MID,0
Maxwel Cornet,LM,Côte d'Ivoire,0.75,0.85,0.75,0.7,0.76,0.67,0.7,0.83,0.86,0.75,0.78,0.76,0.69,0.7,0.66,0.8,0.7,0.66,0.64,0.66,0.69,0.8,LM,MID,5
Bobby De Cordova-Reid,RM,Jamaica,0.75,0.74,0.72,0.72,0.76,0.6,0.63,0.77,0.72,0.86,0.86,0.74,0.76,0.6,0.74,0.75,0.59,0.55,0.59,0.59,0.69,0.69,RM,MID,5
Leander Dendoncker,CM,Belgium,0.75,0.53,0.69,0.75,0.7,0.76,0.78,0.4,0.64,0.49,0.52,0.76,0.72,0.83,0.72,0.77,0.78,0.75,0.74,0.76,0.77,0.83,CM,MID,0
Amad Diallo,RM,Côte d'Ivoire,0.75,0.85,0.71,0.68,0.8,0.25,0.5,0.88,0.82,0.92,0.87,0.8,0.69,0.45,0.65,0.61,0.25,0.22,0.19,0.22,0.48,0.74,RM,MID,1
Krépin Diatta,RM,Senegal,0.75,0.89,0.69,0.66,0.78,0.5,0.67,0.9,0.89,0.89,0.76,0.75,0.7,0.61,0.84,0.78,0.42,0.5,0.55,0.48,0.62,0.73,RM,MID,1
Niklas Dorsch,CDM,Germany,0.75,0.7,0.72,0.73,0.78,0.71,0.72,0.73,0.68,0.8,0.84,0.8,0.73,0.69,0.75,0.73,0.73,0.71,0.73,0.71,0.61,0.82,CDM,MID,5
Abdoulaye Doucouré,CAM,Mali,0.75,0.57,0.78,0.72,0.74,0.77,0.82,0.65,0.51,0.61,0.63,0.74,0.79,0.82,0.84,0.82,0.77,0.74,0.76,0.8,0.72,0.84,CAM,MID,5
Flynn Downes,CDM,England,0.75,0.64,0.53,0.71,0.73,0.71,0.75,0.67,0.62,0.77,0.79,0.74,0.72,0.73,0.8,0.73,0.75,0.7,0.71,0.69,0.62,0.59,CDM,MID,5
Maximilian Eggestein,CDM,Germany,0.75,0.63,0.6,0.69,0.71,0.72,0.74,0.63,0.63,0.68,0.69,0.74,0.77,0.73,0.78,0.73,0.76,0.72,0.7,0.74,0.65,0.76,CDM,MID,5
Magnus Wolff Eikrem,CAM,Norway,0.75,0.65,0.71,0.76,0.74,0.33,0.5,0.65,0.65,0.82,0.7,0.75,0.75,0.49,0.58,0.47,0.28,0.42,0.32,0.38,0.35,0.69,CAM,MID,1
Neil El Aynaoui,CM,Morocco,0.75,0.63,0.61,0.7,0.74,0.66,0.71,0.6,0.66,0.68,0.52,0.78,0.75,0.72,0.79,0.76,0.7,0.61,0.62,0.7,0.59,0.64,CM,MID,5
Embarba,LM,Spain,0.75,0.78,0.74,0.73,0.76,0.42,0.68,0.79,0.77,0.79,0.74,0.74,0.73,0.62,0.73,0.71,0.48,0.43,0.36,0.37,0.55,0.81,LM,MID,1
Cristian Espinoza,RM,Argentina,0.75,0.84,0.7,0.69,0.75,0.43,0.66,0.83,0.84,0.81,0.8,0.71,0.66,0.61,0.86,0.7,0.39,0.36,0.5,0.38,0.5,0.74,RM,MID,1
Giovanni Fabbian,CM,Italy,0.75,0.67,0.72,0.72,0.75,0.68,0.63,0.7,0.65,0.74,0.79,0.77,0.73,0.55,0.72,0.69,0.69,0.68,0.64,0.69,0.7,0.74,CM,MID,5
Marco Davide Faraoni,RM,Italy,0.75,0.73,0.72,0.74,0.74,0.69,0.7,0.74,0.72,0.7,0.79,0.75,0.76,0.66,0.71,0.75,0.69,0.68,0.68,0.72,0.69,0.79,RM,MID,5
Guillermo Fernández,CM,Argentina,0.75,0.67,0.67,0.73,0.76,0.65,0.66,0.65,0.69,0.77,0.7,0.78,0.74,0.63,0.76,0.6,0.67,0.66,0.65,0.73,0.45,0.71,CM,MID,5
Angelo Fulgini,CAM,France,0.75,0.71,0.69,0.75,0.78,0.67,0.71,0.69,0.72,0.74,0.65,0.8,0.72,0.68,0.78,0.72,0.73,0.69,0.61,0.67,0.67,0.7,CAM,MID,5
Mijat Gaćinović,LM,Serbia,0.75,0.78,0.67,0.72,0.78,0.63,0.67,0.79,0.78,0.83,0.8,0.77,0.72,0.6,0.79,0.66,0.64,0.65,0.63,0.7,0.47,0.67,LM,MID,5
James Garner,CM,England,0.75,0.66,0.65,0.77,0.71,0.71,0.71,0.66,0.66,0.71,0.57,0.76,0.72,0.67,0.78,0.68,0.74,0.7,0.71,0.72,0.59,0.74,CM,MID,5
Dániel Gazdag,CAM,Hungary,0.75,0.77,0.73,0.68,0.76,0.54,0.72,0.75,0.78,0.72,0.68,0.78,0.7,0.67,0.9,0.66,0.62,0.5,0.45,0.6,0.47,0.72,CAM,MID,5
Yann Gboho,CAM,France,0.75,0.76,0.68,0.7,0.79,0.36,0.58,0.79,0.74,0.82,0.77,0.78,0.76,0.53,0.67,0.64,0.38,0.34,0.34,0.3,0.53,0.67,CAM,MID,1
Billy Gilmour,CDM,Scotland,0.75,0.6,0.58,0.75,0.76,0.7,0.62,0.69,0.53,0.75,0.77,0.77,0.78,0.52,0.73,0.58,0.76,0.67,0.7,0.72,0.5,0.63,CDM,MID,5
Albert Grønbæk,CAM,Denmark,0.75,0.77,0.68,0.72,0.77,0.62,0.72,0.78,0.77,0.86,0.84,0.76,0.7,0.65,0.88,0.72,0.64,0.62,0.62,0.64,0.55,0.67,CAM,MID,5
Marko Grujić,CM,Serbia,0.75,0.59,0.71,0.71,0.75,0.74,0.82,0.53,0.64,0.67,0.56,0.79,0.75,0.84,0.8,0.82,0.76,0.7,0.71,0.74,0.78,0.76,CM,MID,5
Marco Grüll,LM,Austria,0.75,0.93,0.73,0.67,0.74,0.36,0.72,0.91,0.94,0.77,0.69,0.73,0.65,0.71,0.93,0.8,0.28,0.27,0.46,0.29,0.56,0.75,LM,MID,1
Cristian Guanca,CAM,Argentina,0.75,0.72,0.78,0.72,0.75,0.4,0.71,0.73,0.72,0.77,0.75,0.76,0.72,0.72,0.82,0.69,0.35,0.33,0.38,0.41,0.63,0.81,CAM,MID,1
Javi Guerra,CM,Spain,0.75,0.74,0.7,0.72,0.75,0.72,0.72,0.73,0.74,0.8,0.71,0.75,0.75,0.7,0.79,0.76,0.74,0.66,0.72,0.74,0.68,0.7,CM,MID,5
Ander Guevara,CM,Spain,0.75,0.43,0.63,0.72,0.71,0.72,0.69,0.51,0.37,0.67,0.69,0.76,0.76,0.66,0.79,0.6,0.79,0.71,0.72,0.73,0.54,0.52,CM,MID,0
Pape Gueye,CM,Senegal,0.75,0.58,0.6,0.7,0.71,0.74,0.76,0.55,0.61,0.54,0.52,0.76,0.75,0.78,0.73,0.71,0.78,0.7,0.73,0.78,0.61,0.73,CM,MID,0
Marcel Hartel,CM,Germany,0.75,0.72,0.7,0.73,0.79,0.43,0.61,0.74,0.71,0.84,0.81,0.78,0.75,0.47,0.93,0.59,0.44,0.34,0.31,0.59,0.53,0.72,CM,MID,1
Nicolas Höfler,CDM,Germany,0.75,0.57,0.47,0.65,0.67,0.75,0.72,0.54,0.6,0.67,0.73,0.67,0.77,0.71,0.78,0.69,0.77,0.69,0.75,0.8,0.65,0.58,CDM,MID,0
Hong Hyeon Seok,CAM,Korea Republic,0.75,0.72,0.71,0.74,0.76,0.66,0.68,0.77,0.67,0.84,0.81,0.75,0.74,0.59,0.85,0.6,0.71,0.68,0.66,0.68,0.41,0.7,CAM,MID,5
Kristijan Jakić,CDM,Croatia,0.75,0.67,0.61,0.64,0.68,0.74,0.79,0.76,0.59,0.65,0.74,0.71,0.71,0.75,0.78,0.81,0.76,0.74,0.75,0.72,0.69,0.79,CDM,MID,5
Daniel James,RM,Wales,0.75,0.93,0.7,0.66,0.74,0.46,0.66,0.94,0.93,0.83,0.82,0.74,0.76,0.56,0.74,0.71,0.45,0.34,0.52,0.42,0.5,0.73,RM,MID,1
Atakan Karazor,CDM,Germany,0.75,0.48,0.36,0.62,0.66,0.77,0.73,0.41,0.54,0.61,0.43,0.72,0.69,0.69,0.78,0.71,0.76,0.75,0.78,0.78,0.78,0.47,CDM,MID,0
Mandela Keita,CDM,Belgium,0.75,0.78,0.56,0.67,0.75,0.72,0.8,0.78,0.78,0.78,0.75,0.74,0.69,0.79,0.87,0.82,0.74,0.72,0.71,0.74,0.64,0.76,CDM,MID,5
Rani Khedira,CDM,Germany,0.75,0.54,0.43,0.57,0.62,0.79,0.8,0.53,0.54,0.54,0.55,0.68,0.75,0.83,0.71,0.79,0.78,0.74,0.83,0.78,0.75,0.58,CDM,MID,0
Ki Sung Yueng,CM,Korea Republic,0.75,0.54,0.66,0.76,0.7,0.64,0.77,0.54,0.54,0.62,0.66,0.76,0.66,0.75,0.86,0.66,0.68,0.58,0.59,0.71,0.55,0.74,CM,MID,0
Aboubakary Koita,LM,Mauritania,0.75,0.83,0.77,0.7,0.77,0.57,0.69,0.86,0.81,0.87,0.76,0.73,0.7,0.69,0.76,0.65,0.6,0.57,0.6,0.62,0.32,0.88,LM,MID,1
Giannis Konstantelias,CAM,Greece,0.75,0.77,0.65,0.74,0.79,0.38,0.56,0.8,0.75,0.85,0.85,0.79,0.72,0.46,0.7,0.58,0.38,0.37,0.37,0.34,0.45,0.65,CAM,MID,1
Tom Krauß,CDM,Germany,0.75,0.7,0.66,0.66,0.73,0.72,0.75,0.74,0.67,0.69,0.68,0.75,0.73,0.68,0.79,0.74,0.76,0.72,0.71,0.72,0.64,0.73,CDM,MID,5
Qazim Laçi,CM,Albania,0.75,0.72,0.69,0.75,0.76,0.69,0.77,0.76,0.69,0.83,0.7,0.76,0.75,0.72,0.79,0.79,0.7,0.65,0.69,0.72,0.67,0.77,CM,MID,5
Manuel Lanzini,CAM,Argentina,0.75,0.63,0.71,0.76,0.8,0.43,0.51,0.69,0.58,0.78,0.89,0.79,0.7,0.43,0.56,0.53,0.55,0.57,0.3,0.3,0.53,0.76,CAM,MID,1
Romeo Lavia,CDM,Belgium,0.75,0.67,0.5,0.7,0.75,0.73,0.73,0.69,0.65,0.75,0.76,0.75,0.7,0.75,0.68,0.74,0.75,0.73,0.73,0.73,0.62,0.63,CDM,MID,5
Jesper Lindstrøm,CAM,Denmark,0.75,0.82,0.72,0.68,0.79,0.43,0.6,0.84,0.8,0.79,0.82,0.81,0.7,0.51,0.68,0.6,0.44,0.39,0.46,0.4,0.44,0.75,CAM,MID,1
Robin Lod,RM,Finland,0.75,0.73,0.71,0.73,0.75,0.59,0.71,0.74,0.73,0.74,0.72,0.77,0.69,0.75,0.73,0.69,0.56,0.51,0.67,0.54,0.61,0.72,RM,MID,5
Enzo Loiodice,CM,France,0.75,0.66,0.64,0.74,0.77,0.69,0.67,0.64,0.67,0.72,0.82,0.79,0.68,0.58,0.81,0.63,0.72,0.71,0.71,0.67,0.58,0.73,CM,MID,5
Costinha,RM,Portugal,0.75,0.75,0.65,0.72,0.73,0.69,0.77,0.77,0.74,0.7,0.69,0.75,0.72,0.72,0.81,0.8,0.7,0.71,0.66,0.71,0.68,0.71,RM,MID,5
Eduard Löwen,CM,Germany,0.75,0.66,0.7,0.74,0.72,0.7,0.82,0.6,0.7,0.46,0.67,0.76,0.76,0.81,0.86,0.77,0.74,0.66,0.69,0.69,0.7,0.85,CM,MID,5
Saša Lukić,CM,Serbia,0.75,0.53,0.69,0.74,0.75,0.7,0.7,0.52,0.53,0.65,0.68,0.79,0.72,0.69,0.74,0.66,0.73,0.72,0.68,0.7,0.62,0.75,CM,MID,5
Senne Lynen,CDM,Belgium,0.75,0.7,0.62,0.72,0.67,0.73,0.77,0.56,0.82,0.55,0.62,0.71,0.75,0.77,0.8,0.72,0.73,0.65,0.73,0.8,0.64,0.72,CDM,MID,5
Hugo Magnetti,CDM,France,0.75,0.45,0.5,0.68,0.74,0.69,0.75,0.48,0.43,0.6,0.83,0.77,0.71,0.76,0.71,0.63,0.74,0.69,0.68,0.72,0.5,0.68,CDM,MID,0
Víctor Ignacio Malcorra,CAM,Argentina,0.75,0.68,0.71,0.79,0.76,0.59,0.65,0.69,0.67,0.77,0.8,0.77,0.69,0.73,0.56,0.65,0.6,0.51,0.65,0.58,0.45,0.78,CAM,MID,5
Dennis Man,RM,Romania,0.75,0.92,0.72,0.69,0.77,0.45,0.73,0.92,0.92,0.92,0.69,0.75,0.67,0.74,0.76,0.86,0.48,0.45,0.38,0.4,0.68,0.76,RM,MID,1
Daniel Mancini,RM,Argentina,0.75,0.81,0.72,0.7,0.76,0.59,0.68,0.83,0.79,0.82,0.79,0.75,0.73,0.62,0.75,0.73,0.63,0.59,0.56,0.59,0.55,0.75,RM,MID,5
Federico Mancuello,CAM,Argentina,0.75,0.63,0.69,0.8,0.76,0.56,0.63,0.67,0.6,0.76,0.64,0.8,0.75,0.59,0.78,0.59,0.6,0.56,0.53,0.6,0.49,0.8,CAM,MID,5
Petros Mantalos,CAM,Greece,0.75,0.72,0.68,0.77,0.76,0.55,0.66,0.73,0.72,0.78,0.78,0.77,0.72,0.63,0.7,0.72,0.52,0.45,0.59,0.55,0.64,0.67,CAM,MID,5
Răzvan Marin,CM,Romania,0.75,0.64,0.74,0.76,0.75,0.67,0.71,0.66,0.63,0.73,0.73,0.76,0.75,0.66,0.8,0.67,0.67,0.66,0.66,0.72,0.58,0.82,CM,MID,5
Eric Martel,CDM,Germany,0.75,0.63,0.51,0.62,0.71,0.76,0.81,0.65,0.62,0.67,0.69,0.72,0.73,0.78,0.9,0.76,0.76,0.73,0.77,0.78,0.67,0.53,CDM,MID,0
Gonzalo Martínez,RM,Argentina,0.75,0.75,0.73,0.72,0.81,0.35,0.55,0.82,0.69,0.82,0.86,0.79,0.71,0.59,0.49,0.6,0.29,0.31,0.47,0.27,0.32,0.79,RM,MID,1
